event,id,pt,eta,phi,momentum,mass
113,	6000113,	21.5185,	3.75255,	-2.49295,	458.918,	15
113,	-6000113,	114.54,	2.182,	-0.247813,	514.105,	15
114,	6000113,	64.481,	-0.433094,	0.262764,	70.6235,	15
114,	-6000113,	53.1321,	1.06586,	-1.11614,	86.2801,	15
115,	6000113,	79.4472,	1.47326,	2.73974,	182.435,	15
115,	-6000113,	46.3667,	1.26697,	-0.202327,	88.833,	15
116,	6000113,	54.0763,	-1.02589,	2.10341,	85.1179,	15
116,	-6000113,	58.28,	-0.146056,	-0.63364,	58.9027,	15
117,	6000113,	36.2179,	-2.05228,	2.82144,	143.315,	15
117,	-6000113,	46.1449,	-3.87741,	-0.120114,	1114.85,	15
118,	6000113,	106.658,	-0.537964,	-0.985919,	122.467,	15
118,	-6000113,	20.4152,	-2.13209,	1.54647,	87.2855,	15
119,	6000113,	48.6852,	0.865121,	-2.85477,	68.069,	15
119,	-6000113,	64.2405,	1.65523,	0.365437,	174.263,	15
120,	6000113,	71.1895,	-1.1933,	-2.04654,	128.182,	15
120,	-6000113,	44.31,	-0.365322,	1.30026,	47.2999,	15
121,	6000113,	30.896,	1.03959,	-2.56182,	49.15,	15
121,	-6000113,	98.9032,	0.106413,	0.200697,	99.4637,	15
122,	6000113,	37.7813,	0.39621,	-2.21332,	40.7858,	15
122,	-6000113,	23.9946,	2.98536,	0.673081,	238.076,	15
123,	6000113,	39.3058,	-2.35466,	-2.16471,	208.901,	15
123,	-6000113,	48.9673,	-4.20932,	2.34353,	1648.38,	15
124,	6000113,	45.9658,	1.07724,	-2.11876,	75.3175,	15
124,	-6000113,	58.494,	-0.356945,	2.01925,	62.2601,	15
125,	6000113,	66.1342,	-0.407168,	2.94256,	71.6924,	15
125,	-6000113,	56.1214,	-0.24307,	0.0184186,	57.7875,	15
126,	6000113,	65.3672,	0.00611566,	-0.0447426,	65.3685,	15
126,	-6000113,	62.3577,	0.266883,	-2.50597,	64.5916,	15
127,	6000113,	22.3961,	-1.78096,	1.90608,	68.3534,	15
127,	-6000113,	65.9338,	0.46945,	-2.24025,	73.3335,	15
128,	6000113,	36.2807,	2.86845,	2.97484,	320.476,	15
128,	-6000113,	84.0952,	1.95911,	-0.0170708,	304.173,	15
129,	6000113,	27.5515,	0.649926,	2.74896,	33.5781,	15
129,	-6000113,	23.9022,	3.55454,	-0.902221,	418.292,	15
130,	6000113,	34.008,	-0.304323,	1.86547,	35.5949,	15
130,	-6000113,	40.5245,	-2.39933,	-1.56205,	225.044,	15
131,	6000113,	47.8433,	-1.99502,	2.00357,	179.135,	15
131,	-6000113,	67.6369,	-1.22302,	-1.41762,	124.85,	15
132,	6000113,	40.051,	-0.297834,	-1.63477,	41.8406,	15
132,	-6000113,	42.3677,	1.56044,	1.53797,	105.304,	15
133,	6000113,	84.8034,	-0.0290871,	-1.1508,	84.8393,	15
133,	-6000113,	66.189,	0.808773,	-2.66896,	89.0426,	15
134,	6000113,	62.1538,	-1.08241,	2.67287,	102.26,	15
134,	-6000113,	76.6555,	0.505503,	2.53636,	86.6598,	15
135,	6000113,	5.73777,	-2.43744,	2.23649,	33.0812,	15
135,	-6000113,	47.5162,	-4.41062,	-0.78978,	1956.06,	15
136,	6000113,	36.2881,	-2.40702,	0.956584,	203.049,	15
136,	-6000113,	70.2157,	-0.441393,	0.294956,	77.1674,	15
137,	6000113,	56.1326,	-3.02775,	-0.198738,	580.951,	15
137,	-6000113,	68.0143,	-2.94462,	2.62535,	648.045,	15
138,	6000113,	139.573,	0.601563,	2.89922,	165.597,	15
138,	-6000113,	27.6294,	0.824265,	-0.796967,	37.5589,	15
139,	6000113,	36.4978,	-0.3785,	1.16183,	39.1435,	15
139,	-6000113,	97.373,	-1.10337,	-2.71338,	162.907,	15
140,	6000113,	62.0451,	3.80753,	-0.215862,	1397.92,	15
140,	-6000113,	50.9556,	2.49037,	2.74597,	309.52,	15
141,	6000113,	18.781,	1.6197,	-1.52426,	49.2957,	15
141,	-6000113,	31.9636,	-1.50296,	1.10481,	75.393,	15
142,	6000113,	82.1095,	-2.02656,	0.207433,	316.931,	15
142,	-6000113,	37.904,	-2.99533,	2.88887,	379.834,	15
143,	6000113,	40.1497,	0.83589,	-0.195499,	55.0122,	15
143,	-6000113,	92.1919,	0.626659,	2.67494,	110.894,	15
144,	6000113,	93.1944,	-0.376207,	-2.90029,	99.8675,	15
144,	-6000113,	26.7151,	1.46318,	-1.58236,	60.7927,	15
145,	6000113,	279.974,	0.917062,	0.176829,	406.189,	15
145,	-6000113,	403.612,	0.723663,	-0.132393,	513.989,	15
146,	6000113,	97.4749,	-1.50084,	0.486468,	229.475,	15
146,	-6000113,	24.887,	-2.90711,	-2.15302,	228.444,	15
147,	6000113,	137.022,	2.58481,	-0.283191,	913.68,	15
147,	-6000113,	88.8634,	1.58187,	-0.628691,	225.252,	15
148,	6000113,	117.511,	-0.623357,	2.21144,	141.09,	15
148,	-6000113,	32.5033,	-1.37917,	-0.94609,	68.637,	15
149,	6000113,	51.6959,	0.699008,	-0.232637,	64.8482,	15
149,	-6000113,	55.3322,	-0.44597,	-2.92053,	60.9265,	15
150,	6000113,	63.4029,	2.70622,	-2.75722,	476.769,	15
150,	-6000113,	51.9697,	2.05785,	0.436451,	206.757,	15
151,	6000113,	22.784,	2.28609,	-2.29422,	113.214,	15
151,	-6000113,	84.4858,	0.55963,	0.567684,	98.0646,	15
152,	6000113,	33.4191,	0.505312,	2.23836,	37.7773,	15
152,	-6000113,	78.4574,	-1.10223,	0.509131,	131.141,	15
153,	6000113,	91.2666,	-0.799031,	2.6539,	121.985,	15
153,	-6000113,	43.5352,	-1.7274,	0.673938,	126.334,	15
154,	6000113,	15.4847,	3.95655,	1.82285,	404.892,	15
154,	-6000113,	40.1582,	0.92321,	-0.775879,	58.5226,	15
155,	6000113,	41.8747,	0.0644799,	1.27991,	41.9617,	15
155,	-6000113,	75.5012,	0.882101,	-1.64834,	106.83,	15
156,	6000113,	64.3216,	2.67427,	0.0586838,	468.604,	15
156,	-6000113,	61.2331,	2.28551,	2.571,	304.096,	15
157,	6000113,	40.1277,	0.428367,	-1.85562,	43.866,	15
157,	-6000113,	5.81722,	-3.70275,	0.0297989,	118.041,	15
158,	6000113,	55.7784,	0.8907,	-0.349855,	79.4063,	15
158,	-6000113,	67.5513,	1.01535,	3.01229,	105.468,	15
159,	6000113,	39.3049,	-1.15114,	-2.69819,	68.3528,	15
159,	-6000113,	59.0946,	0.267308,	0.319057,	61.2185,	15
160,	6000113,	60.0293,	-0.450716,	1.77529,	66.2305,	15
160,	-6000113,	61.8449,	-0.369599,	-1.52425,	66.1173,	15
161,	6000113,	63.2854,	-1.28637,	2.3548,	123.276,	15
161,	-6000113,	23.0001,	-3.49363,	-1.65059,	378.759,	15
162,	6000113,	38.0561,	-1.53908,	-1.26166,	92.7594,	15
162,	-6000113,	34.2445,	-3.75308,	0.936888,	730.701,	15
163,	6000113,	63.6702,	-1.06211,	0.059899,	103.089,	15
163,	-6000113,	57.767,	-1.24589,	-3.11733,	108.71,	15
164,	6000113,	41.2621,	-1.429,	0.239323,	91.0669,	15
164,	-6000113,	90.4263,	-1.50781,	-3.07579,	214.229,	15
165,	6000113,	70.5126,	2.24442,	1.06108,	336.377,	15
165,	-6000113,	55.5621,	1.72753,	-2.79014,	161.253,	15
166,	6000113,	48.7755,	0.749266,	-2.90488,	63.1193,	15
